,category,sub_category,product_item,product_name,product_price,product_per_kg/lr,shipping_cost,shipping_duration,date_time,prod_description,storage_information,manf_address,Ingredients,Calorif_val_kf,cal_val_kcal,fat,saturated_fat,carbohydrates,sugar_carbohydrates,protein,salt,product_url,product_image
311,Lebensmittel,Kaffee & Tee,Tee,Meßmer Tee Aprikose-Pfirsich 20ST 50G,"2,29 €","41,64 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 23:05:06.658406,Früchtetee aromatisiert Aprikose-Pfirsich-Geschmack,Hinweis zur Aufbewahrung: Kühl und trocken lagern.,"Verantwortliches Lebensmittelunternehmen:
Meßmer Tee-Gesellschaft mbH, 21218 Seevetal Deutschland","Zutatenverzeichnis: Äpfel, Hagebutten, Aroma, weißer Hibiskus, Säuerungsmittel: Citronensäure, süße Brombeerblätter, Süßkraut, Aprikosensaftgranulat (Maltodextrin, Aprikosensaftkonzentrat), Pfirsichsaftgranulat (Maltodextrin, Pfirsichsaftkonzentrat).",10,2,0,0,"0,6","0,2",0,0,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Tee/Messmer-Tee-Aprikose-Pfirsich-20ST-50G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/memer_tee_aprikosepfirsich_20st_50g.jpg
312,Lebensmittel,Kaffee & Tee,Tee,Teekanne Fenchel 20ST 60G,"2,19 €","36,50 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 23:05:10.329027,Fencheltee,Hinweis zur Aufbewahrung: Vor Wärme geschützt und trocken lagern,"Verantwortliches Lebensmittelunternehmen:
TEEKANNE GmbH & Co. KG, D-40526 Düsseldorf",Zutatenverzeichnis: Fenchel,3,1,"0,1","0,1","0,1","0,1","0,1","0,01",https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Tee/Teekanne-Fenchel-20ST-60G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/teekannefenkel.jpg
313,Lebensmittel,Kaffee & Tee,Tee,"Meßmer Grüner Tee 50ST 87,5G","3,39 €","38,74 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 23:05:16.555058,Grüner Tee,Hinweis zur Aufbewahrung: Vor Wärme geschützt und trocken lagern.,"Verantwortliches Lebensmittelunternehmen:
Meßmer Tee-Gesellschaft mbH, 21218 Seevetal Deutschland",,3,1,g,"0,0","0,2","0,1",g,0,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Tee/Messmer-Gruener-Tee-50ST-87-5G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/memer_grner_tee_gro.jpg
314,Lebensmittel,Kaffee & Tee,Tee,Meßmer Marokkanische Minze-Honig 20ST 40G,"2,29 €","57,25 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 23:05:20.519008,Krauseminztee-Mischung aromatisiert Honig-Geschmack,Hinweis zur Aufbewahrung: Vor Wärme geschützt und trocken lagern.,"Verantwortliches Lebensmittelunternehmen:
Meßmer Tee-Gesellschaft mbH, Bosteler Feld 6, 21218 Seevetal","Zutatenverzeichnis: Krauseminze* (88%), Pfefferminze*, Süßkraut, süße Brombeerblätter, Aroma, Honiggranulat (Maltodextrin, Honig). *70% Rainforest Alliance Certified",3,1,0,0,"0,2","0,1",0,0,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Tee/Messmer-Marokkanische-Minze-Honig-20ST-40G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/meamp223mer_marokkanische_minzehonig_20st_40g.jpg
315,Lebensmittel,Kaffee & Tee,Tee,Meßmer Tee Rooibos Wildkirsche 20ST 40G,"2,29 €","57,25 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 23:05:23.971955,Rooibostee aromatisiert Wildkirsche-Geschmack,Hinweis zur Aufbewahrung: Vor Wärme geschützt und trocken lagern.,"Verantwortliches Lebensmittelunternehmen:
Meßmer Tee-Gesellschaft mbH, 21218 Seevetal Deutschland","Zutatenverzeichnis: Rooibos, Aroma (Wildkirsche), Kirschsaftgranulat (Maltodextrin, Kirschsaftkonzentrat)",3,1,0,0,"0,2","0,1",0,g,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Tee/Messmer-Tee-Rooibos-Wildkirsche-20ST-40G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/memer_tee_rooibos_wildkirsche.jpg
317,Lebensmittel,Kaffee & Tee,Tee,"Meßmer Cold Tea Zitrone-Minze 14ST 38,5G","3,49 €","90,65 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 23:05:30.678988,"Früchtetee mit Vitamin C und Minze, natürlich aromatisiert, Zitronen-Geschamck",,"Verantwortliches Lebensmittelunternehmen:
Ostfriesische Tee Gesellschaft GmbH & Co. KG, Bosteler Feld 6, 21218 Seevetal","Zutatenverzeichnis: Äpfel, Pfefferminze (20%), Hagebutten, Aroma, Orangenschalen, süße Brombeerblätter, Süßkraut, Säuerungsmittel: Citronensäure, Vitamin C, Zitronenschalen.",10,2,0,0,"0,6","0,2",0,0,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Tee/Messmer-Cold-Tea-Zitrone-Minze-14ST-38-5G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/meamp223mer_cold_tea_zitroneminze_14st_385g.jpg
321,Lebensmittel,Kaffee & Tee,Tee,"Meßmer Grüner Tee Orange Ingwer 25ST 43,8G","2,39 €","54,57 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 23:05:41.738806,Grüner Tee aromatisiert Orange-Ingwer-Geschmack,Hinweis zur Aufbewahrung: Vor Wärme geschützt und trocken lagern.,"Verantwortliches Lebensmittelunternehmen:
Meßmer Tee-Gesellschaft mbH, 21218 Seevetal Deutschland","Zutatenverzeichnis: Grüner Tee, Aroma (Orange), Ingwer, Orangenschalen",3,1,g,0,"0,2","0,1",g,g,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Tee/Messmer-Gruener-Tee-Orange-Ingwer-25ST-43-8G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/memer_grner_tee_orange_ingwer_25st_438g.jpg
322,Lebensmittel,Kaffee & Tee,Tee,Teekanne Kamille 20ST 30G,"2,19 €","73,00 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 23:05:44.478290,Kamillentee,Hinweis zur Aufbewahrung: Vor Wärme geschützt und trocken lagern,"Verantwortliches Lebensmittelunternehmen:
TEEKANNE GmbH & Co. KG, D-40526 Düsseldorf",Zutatenverzeichnis: Kamille,3,1,"0,1","0,1","0,1","0,1","0,1","0,01",https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Tee/Teekanne-Kamille-20ST-30G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/teekannekamil.jpg
323,Lebensmittel,Kaffee & Tee,Tee,"Meßmer Kamille-Fenchel 23ST 40,25G","1,95 €","45,88 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 23:05:47.645756,Kräutertee,Hinweis zur Aufbewahrung: Vor Wärme geschützt und trocken lagern.,"Verantwortliches Lebensmittelunternehmen:
Meßmer Tee-Gesellschaft mbH, Bosteler Feld 6, 21218 Seevetal","Zutatenverzeichnis: Kamille, Fenchel.",3,1,0,0,"0,2","0,1",0,0,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Tee/Messmer-Kamille-Fenchel-23ST-40-25G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/meamp223mer_kamillefenchel_23st_4025g.jpg
324,Lebensmittel,Kaffee & Tee,Tee,"Meßmer Cold Tea Eistee Pfirsich 14ST 38,5G","3,49 €","90,65 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 23:05:50.925742,"Schwarzer tee, natürlich aromatisiert, Pfirsich-Geschmack",,"Verantwortliches Lebensmittelunternehmen:
Ostfriesische Tee Gesellschaft GmbH & Co. KG, Bosteler Feld 6, 21218 Seevetal","Zutatenverzeichnis: Schwarzer Tee (77%), natürliches Aroma, Süßkraut, Säuerungsmittel: Citronensäure, Zichorienwurzeln geröstet, Pfirsichfruchtstücke (Pfirsich, Maltodextrin).",3,1,0,0,"0,2","0,1",0,0,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Tee/Messmer-Cold-Tea-Eistee-Pfirsich-14ST-38-5G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/meamp223mer_cold_tea_eistee_pfirsich_14st_385g.jpg
325,Lebensmittel,Kaffee & Tee,Tee,Meßmer Bio Tee Alpenkräuter 20ST 40G,"3,49 €","87,25 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 23:05:53.708293,Bio Kräutertee,Hinweis zur Aufbewahrung: Kühl und trocken lagern.,"Verantwortliches Lebensmittelunternehmen:
Meßmer Tee-Gesellschaft mbH, 21218 Seevetal Deutschland","Zutatenverzeichnis: Bio Kamille, Bio Melisse, Bio Pfefferminze, Bio Salbei, Bio Brombeerblätter, Bio Erdbeerblätter, Bio Schafgarbenkraut.",3,1,0,0,"0,2","0,1",0,0,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Tee/Messmer-Bio-Tee-Alpenkraeuter-20ST-40G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/memer_bio_tee_alpenkruter_20x_2_g.jpg
327,Lebensmittel,Kaffee & Tee,Tee,Teefee Bio Früchtetee Himbeere 20ST 30G,"3,89 €","129,67 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 23:05:58.412767,Bio-Früchtetee mit Himbeeren,Hinweis zur Aufbewahrung: Bitte kühl und trocken lagern.,"Verantwortliches Lebensmittelunternehmen:
La Marchante GmbH, Kaiserstr. 61, 60329 Frankfurt am Main","Zutatenverzeichnis: Äpfel*, Hibiskus*, Hagebutten*, Steviablätter*, Himbeeren* 1% (EU/Nicht-EU). *aus ökologischer Landwirtschaft",7,2,0,0,"0,4","0,3",0,0,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Tee/Teefee-Bio-Fruechtetee-Himbeere-20ST-30G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/bio_teefee_framp252chtetee_himbeere_20st_30g.jpg
329,Lebensmittel,Kaffee & Tee,Tee,Meßmer Spanische Orange 20ST 50G,"2,29 €","45,80 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 23:06:04.142341,Früchtetee aromatisiert Orangen-Geschmack,Hinweis zur Aufbewahrung: Vor Wärme geschützt und trocken lagern.,"Verantwortliches Lebensmittelunternehmen:
Meßmer Tee-Gesellschaft mbH, Bosteler Feld 6, 21218 Seevetal","Zutatenverzeichnis: Äpfel, Hibiskus, Hagebutten, Orangenschalen (10 %), Aroma, weißer Hibiskus, Süßholzwurzeln, Süßkraut, Traubensaftgranulat (Maltodextrin, weißes Traubensaftkonzentrat), Aprikosensaftgranulat (Maltodextrin, Aprikosensaftkonzentrat).",10,2,0,0,"0,6","0,2",0,0,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Tee/Messmer-Spanische-Orange-20ST-50G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/meamp223mer_spanische_orange_20st_50g.jpg
331,Lebensmittel,Kaffee & Tee,Tee,"Meßmer Tee Feinster Ostfriesen 25ST 37,5G","1,95 €","52,00 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 23:06:09.618922,Schwarzer Tee,Hinweis zur Aufbewahrung: Vor Wärme geschützt und trocken lagern,"Verantwortliches Lebensmittelunternehmen:
Meßmer Tee-Gesellschaft mbH, 21218 Seevetal Deutschland",Zutatenverzeichnis: Schwarzer Tee,3,1,0,g,"0,2","0,1",g,g,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Tee/Messmer-Tee-Feinster-Ostfriesen-25ST-37-5G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/memer_tee_feinster_ostfriesen_25x_15_g.jpg
332,Lebensmittel,Kaffee & Tee,Tee,Meßmer Italienische Limone 20ST 50G,"2,29 €","45,80 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 23:06:12.388921,Früchtetee aromatisiert Zitronen-Geschmack,Hinweis zur Aufbewahrung: Vor Wärme geschützt und trocken lagern.,"Verantwortliches Lebensmittelunternehmen:
Meßmer Tee-Gesellschaft mbH, Bosteler Feld 6, 21218 Seevetal","Zutatenverzeichnis: Äpfel*, Hagebutten*, Hibiskus*, Aroma, süße Brombeerblätter, Süßkraut, Säuerungsmittel: Citronensäure, Zitronenschalen. *50% Rainforest Alliance Certified",10,2,0,0,"0,6","0,2",0,0,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Tee/Messmer-Italienische-Limone-20ST-50G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/meamp223mer_italienische_limone_20st_50g.jpg
333,Lebensmittel,Kaffee & Tee,Tee,Teekanne Fenchel Anis-Kümmel 20ST 60G,"2,19 €","36,50 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 23:06:15.176454,-,Hinweis zur Aufbewahrung: Vor Wärme geschützt und trocken lagern,"Verantwortliches Lebensmittelunternehmen:
TEEKANNE GmbH & Co. KG, D-40526 Düsseldorf",,3,1,"0,1","0,1","0,1","0,1","0,1","0,01",https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Tee/Teekanne-Fenchel-Anis-Kuemmel-20ST-60G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/teekannefenchelanuskrmel.jpg
334,Lebensmittel,Kaffee & Tee,Tee,Meßmer Tee Rooibos 20ST 40G,"2,29 €","57,25 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 23:06:18.028249,Rooibostee,Hinweis zur Aufbewahrung: Vor Wärme geschützt und trocken lagern.,"Verantwortliches Lebensmittelunternehmen:
Meßmer Tee-Gesellschaft mbH, 21218 Seevetal Deutschland",Zutatenverzeichnis: Rooibos,3,1,g,"0,0","0,2","0,1",g,g,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Tee/Messmer-Tee-Rooibos-20ST-40G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/memer_tee_rooibos_20x_2_g.jpg
335,Lebensmittel,Kaffee & Tee,Tee,Teekanne Herzkirsche Tee 20ST 60G,"2,49 €","41,50 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 23:06:21.131148,"Früchtetee, aromatisiert - Herzkirschegeschmack",Hinweis zur Aufbewahrung: Vor Wärme geschützt und trocken lagern,"Verantwortliches Lebensmittelunternehmen:
TEEKANNE GmbH & Co. KG, D-40526 Düsseldorf","Zutatenverzeichnis: Hibiskus, Äpfel, Hagebutten, Kirscharoma, süße Brombeerblätter",8,2,"0,1","0,1","0,3","0,2","0,2","0,01",https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Tee/Teekanne-Herzkirsche-Tee-20ST-60G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/teekanne_herzkirsche_tee.jpg
336,Lebensmittel,Kaffee & Tee,Tee,Teekanne Multivitamin Tee 20ST 60G,"2,69 €","44,83 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 23:06:24.621051,"Früchtetee, vitaminisiert und aromatisiert - Beerengeschmack",Hinweis zur Aufbewahrung: Vor Wärme geschützt und trocken lagern,"Verantwortliches Lebensmittelunternehmen:
TEEKANNE GmbH & Co. KG, D-40526 Düsseldorf","Zutatenverzeichnis: Hibiskus, Hagebutten, Äpfel, Orangenschalen, Beerenaroma, Heidelbeeren, schwarze Johannisbeeren, Holunderbeeren,Vitamin C, Niacin, Vitamin E, Pantothensäure, Vitamin B6, Vitamin B2, Vitamin B1, Folsäure, Biotin, Vitamin B12",8,2,"0,1","0,1",g,"0,2","0,2","0,01",https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Tee/Teekanne-Multivitamin-Tee-20ST-60G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/teekanne_multivitamin_tee_20x_3_g.jpg
337,Lebensmittel,Kaffee & Tee,Tee,Sir Winston Tea Broken Orange Pekoe lose 500G,"10,99 €","21,98 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 23:06:27.257813,Schwarzer Tee-Mischung,Hinweis zur Aufbewahrung: Vor Wärme geschützt und trocken lagern,"Verantwortliches Lebensmittelunternehmen:
Winston Tea Company LTD., 95, worship street, London EC2A 2BE",Zutatenverzeichnis: Zutaten: Schwarzer Tee,3,1,"0,1","0,1","0,1","0,1","0,2","0,01",https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Tee/Sir-Winston-Tea-Broken-Orange-Pekoe-lose-500G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/sir_winston_tea_broken_orange_pekoe_lose_500g.jpg
338,Lebensmittel,Kaffee & Tee,Tee,Meßmer Fenchel-Anis-Kümmel-Tee 50ST 100G,"3,39 €","33,90 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 23:06:31.070308,Kräutertee,Hinweis zur Aufbewahrung: Vor Wärme geschützt und trocken lagern.,"Verantwortliches Lebensmittelunternehmen:
Meßmer Tee-Gesellschaft mbH, Bosteler Feld 6, 21218 Seevetal","Zutatenverzeichnis: Fenchel, Kümmel, Anis.",3,1,0,0,"0,2","0,1",0,0,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Tee/Messmer-Fenchel-Anis-Kuemmel-Tee-50ST-100G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/meamp223mer_fenchelaniskamp252mmeltee_50st_100g.jpg
343,Lebensmittel,Kaffee & Tee,Tee,Teekanne Grüner Tee China Auslese lose 250G,"8,49 €","33,96 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 23:06:42.725195,-,Hinweis zur Aufbewahrung: Vor Wärme geschützt und trocken lagern,"Verantwortliches Lebensmittelunternehmen:
TEEKANNE GmbH & Co. KG, D-40526 Düsseldorf",,3,1,"0,1","0,1","0,1","0,1","0,2","0,01",https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Tee/Teekanne-Gruener-Tee-China-Auslese-lose-250G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/teekannegreenlose.jpg
344,Lebensmittel,Kaffee & Tee,Tee,Meßmer Hawaii Kiss Tropical Mango 20ST 50G,"2,29 €","45,80 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 23:06:45.107773,Früchtetee Aromatisiert Mango-Kokos-Geschmack,Hinweis zur Aufbewahrung: Vor Wärme geschützt und trocken lagern.,"Verantwortliches Lebensmittelunternehmen:
Meßmer Tee-Gesellschaft mbH, Bosteler Feld 6, 21218 Seevetal","Zutatenverzeichnis: Hagebutten*, Hibiskus*, Aroma, süße Brombeerblätter, Süßkraut, Mangosaftgranulat (Maltodextrin, Mangosaftkonzentrat), Kokosraspeln. *50% Rainforest Alliance Certified",10,2,0,0,"0,6","0,2",0,0,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Tee/Messmer-Hawaii-Kiss-Tropical-Mango-20ST-50G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/meamp223mer_hawaii_kiss_kokosmango_20st_50g.jpg
345,Lebensmittel,Kaffee & Tee,Tee,Meßmer Hibiskus 23ST 46G,"1,95 €","42,39 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 23:06:47.457030,Hibiskustee,Hinweis zur Aufbewahrung: Vor Wärme geschützt und trocken lagern.,"Verantwortliches Lebensmittelunternehmen:
Meßmer Tee-Gesellschaft mbH, Bosteler Feld 6, 21218 Seevetal",Zutatenverzeichnis: Hibiskus. Rainforest Alliance Certified,10,2,0,0,"0,6","0,2",0,0,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Tee/Messmer-Hibiskus-23ST-46G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/meamp223mer_hibiskus_23st_46g.jpg
347,Lebensmittel,Kaffee & Tee,Tee,Meßmer Miami Vibes Himbeere-Lemon 20ST 50G,"2,29 €","45,80 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 23:06:52.650937,Früchtetee aromatisiert Himbeer-Zitronen-Geschmack,Hinweis zur Aufbewahrung: Vor Wärme geschützt und trocken lagern.,"Verantwortliches Lebensmittelunternehmen:
Meßmer Tee-Gesellschaft mbH, Bosteler Feld 6, 21218 Seevetal","Zutatenverzeichnis: Hagebutten*, Hibiskus*, Aroma, süße Brombeerblätter, Süßkraut, Zitronenschalen*, Himbeeren. *50% Rainforest Alliance Certified",10,2,0,0,"0,6","0,2",0,0,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Tee/Messmer-Miami-Vibes-Himbeere-Lemon-20ST-50G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/meamp223mer_miami_vibes_himbeerelemon_20st_50g.jpg
348,Lebensmittel,Kaffee & Tee,Tee,Meßmer Gelassenheit Verbene-Orange 20ST 40G,"2,49 €","62,25 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 23:06:55.455912,Kräutertee natürlich aromatisiert Orangen-Karamell-Geschmack,Hinweis zur Aufbewahrung: Vor Wärme geschützt und trocken lagern.,"Verantwortliches Lebensmittelunternehmen:
Meßmer Tee-Gesellschaft mbH, Bosteler Feld 6, 21218 Seevetal","Zutatenverzeichnis: Zitronengras*, Zitronenverbene*, Orangenblätter*, Melisse*, Orangenschalen*, natürliches Aroma, Zichorienwurzeln geröstet, Süßkraut, Limettenschalen, Pomeranzenschalen, Karamellgranulat (Karamellzuckersirup, Maltodextrin), Sonnenblumenblüten, Mandarinenschalen. *50% Rainforest Alliance Certified.",3,1,0,0,"0,2","0,1",0,0,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Tee/Messmer-Gelassenheit-Verbene-Orange-20ST-40G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/meamp223mer_gelassenheit_verbeneorange_20st_40g.jpg
349,Lebensmittel,Kaffee & Tee,Tee,Teekanne Tee Frecher Flirt 20ST 55G,"2,49 €","45,27 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 23:06:57.799959,"Früchtetee, aromatisiert - Granatapfel- und Brombeeraroma",Hinweis zur Aufbewahrung: Vor Wärme geschützt und trocken lagern,"Verantwortliches Lebensmittelunternehmen:
TEEKANNE GmbH & Co. KG, Postfach 270351 D-40526 Düsseldorf","Zutatenverzeichnis: Hibiskus, Äpfel, Hagebutten, Granatapfelaroma, süße Brombeerblätter, Brombeeraroma, Brombeeren, Granatapfelsaftgr an.(Maltod.,Granat.-SK)",8,2,"0,1","0,1","0,3","0,2","0,2","0,01",https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Tee/Teekanne-Tee-Frecher-Flirt-20ST-55G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/teekannefrecherflirtt.jpg
352,Lebensmittel,Kaffee & Tee,Tee,Teekanne Sweet Kiss Tee 20ST 60G,"2,49 €","41,50 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 23:07:05.426577,"Früchtetee, aromatisiert - Kirsch- und Erdbeergeschmack",Hinweis zur Aufbewahrung: Vor Wärme geschützt und trocken lagern,"Verantwortliches Lebensmittelunternehmen:
TEEKANNE GmbH & Co. KG, D-40526 Düsseldorf","Zutatenverzeichnis: Hibiskus, Äpfel, Hagebutten, Kirscharoma, Erdbeeraroma",8,2,"0,1","0,1","0,3","0,2","0,2","0,01",https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Tee/Teekanne-Sweet-Kiss-Tee-20ST-60G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/teekanne_sweet_kiss_tee.jpg
353,Lebensmittel,Kaffee & Tee,Tee,Teekanne Heiße Liebe Tee 20ST 60G,"2,49 €","41,50 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 23:07:09.405348,Aromatisierter Früchtetee mit Himbeer- und Vanillearoma,Hinweis zur Aufbewahrung: Vor Wärme geschützt und trocken lagern,"Verantwortliches Lebensmittelunternehmen:
TEEKANNE GmbH & Co. KG, D-40526 Düsseldorf","Zutatenverzeichnis: Äpfel, Hibiskus, Hagebutten, Vanillearoma, Himbeeraroma, Süßblätter, Himbeeren, Vanilleextrakt.",8,2,0,0,"0,4",0,0,0,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Tee/Teekanne-Heisse-Liebe-Tee-20ST-60G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/tkhl.jpg
354,Lebensmittel,Kaffee & Tee,Tee,"Meßmer Grüner Tee Ingwer-Honig 25ST 43,8G","2,39 €","54,57 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 23:07:12.553304,Grüner Tee mit Ingwer aromatisiert Honig-Geschmack,Hinweis zur Aufbewahrung: Vor Wärme geschützt und trocken lagern.,"Verantwortliches Lebensmittelunternehmen:
Meßmer Tee-Gesellschaft mbH, 21218 Seevetal Deutschland","Zutatenverzeichnis: Grüner Tee, Ingwer, Aroma, Honiggranulat (Maltodextrin, Honig)",3,1,g,g,"0,2","0,1","0,0",g,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Tee/Messmer-Gruener-Tee-Ingwer-Honig-25ST-43-8G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/memer_grner_tee_ingwerhonig_25st_438g.jpg
