,category,sub_category,product_item,product_name,product_price,product_per_kg/lr,shipping_cost,shipping_duration,date_time,prod_description,storage_information,manf_address,Ingredients,Calorif_val_kf,cal_val_kcal,fat,saturated_fat,carbohydrates,sugar_carbohydrates,protein,salt,product_url,product_image
11,Lebensmittel,Kaffee & Tee,Kaffee ganze Bohnen,Mövenpick Café Crema Bohnen 1KG,"17,99 €","17,99 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 22:50:46.312452,Röstkaffee in ganzen Bohnen,,"Verantwortliches Lebensmittelunternehmen:
J. J. Darboven GmbH & Co. KG, Pinkertweg 13, D-22113 Hamburg",Zutatenverzeichnis: Kaffeebohnen keine deklarationspflichtigen Allergene enthalten,194,811,"13,4",5,"1,5","1,5",14,"0,03",https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Kaffee-ganze-Bohnen/Moevenpick-Caf-Crema-Bohnen-1KG.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/mvenpick_caf_crema_bohnen_1000g.jpg
12,Lebensmittel,Kaffee & Tee,Kaffee ganze Bohnen,Mövenpick Der Himmlische Kaffee Bohnen 500G,"8,99 €","17,98 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 22:50:48.765359,Röstkaffee in ganzen Bohnen,,"Verantwortliches Lebensmittelunternehmen:
J. J. Darboven GmbH & Co. KG, Pinkertweg 13, D-22113 Hamburg",,194,811,"13,4",5,"1,5","1,5",14,"0,03",https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Kaffee-ganze-Bohnen/Moevenpick-Der-Himmlische-Kaffee-Bohnen-500G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/mvenpickhimmlischgb.jpg
13,Lebensmittel,Kaffee & Tee,Kaffee ganze Bohnen,Melitta BellaCrema Decaffeinato 1KG,"11,99 €","11,99 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 22:50:51.204047,"Röstkaffee in ganzen Bohnen, entkoffeiniert",,"Verantwortliches Lebensmittelunternehmen:
Melitta Europa GmbH & Co. KG, Dortmunder Straße 1, 28199 Bremen",,,,,,,,,,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Kaffee-ganze-Bohnen/Melitta-BellaCrema-Decaffeinato-1KG.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/melitta_bellacrema_decaffeinated_1kg.jpg
14,Lebensmittel,Kaffee & Tee,Kaffee ganze Bohnen,Schweitzers Schüümli Mild & Sanft Bohnen 1KG,"16,99 €","16,99 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 22:50:53.453573,Röstkaffee in Bohnen,"Hinweis zur Aufbewahrung: Kühl, trocken und vor Licht geschützt lagern. Packung nach dem Öffnen wieder gut verschliessen. Zum raschen Verbrauch bestimmt.","Verantwortliches Lebensmittelunternehmen:
Swiss Industries GmbH, D-79576 Weil am Rhein.",Zutatenverzeichnis: Röstkaffee,,,,,,,,,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Kaffee-ganze-Bohnen/Schweitzers-Schueuemli-Mild-Sanft-Bohnen-1KG.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/schweitzschmlimildsanftbohne.jpg
15,Lebensmittel,Kaffee & Tee,Kaffee ganze Bohnen,Monti Gran Espresso Bohnen 1KG,"10,99 €","10,99 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 22:50:56.083377,Blend aus Robusta- und Arabica Bohnen.,,"Verantwortliches Lebensmittelunternehmen:
Remy & Kohlhaas GmbH, Große Hub 9, 65344 Eltville am Rhein",Zutatenverzeichnis: 70% Robusta und 30% Arabica.,,,,,,,,,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Kaffee-ganze-Bohnen/Monti-Gran-Espresso-Bohnen-1KG.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/monti_granespresso_1000g_frontal.jpg
16,Lebensmittel,Kaffee & Tee,Kaffee ganze Bohnen,Lavazza Caffe Crema Classico Bohne 1KG,"15,99 €","15,99 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 22:50:58.496553,Kaffeebohnen,,"Verantwortliches Lebensmittelunternehmen:
LUIGI LAVAZZA S.p.A., C. SO NOVARA, 59- 10154 TORINO - ITALIA",Zutatenverzeichnis: Kaffebohnen,,,,,,,,,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Kaffee-ganze-Bohnen/Lavazza-Caffe-Crema-Classico-Bohne-1KG.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/lavazza_caffe_crema_classico_ganze_bohne.jpg
17,Lebensmittel,Kaffee & Tee,Kaffee ganze Bohnen,Melitta BellaCrema Kaffee Speciale ganze Bohnen 1kg,"11,99 €","11,99 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 22:51:02.148425,Röstkaffee in ganzen Bohnen,,"Verantwortliches Lebensmittelunternehmen:
Melitta Europa GmbH & Co.KG Geschäftsbereich Kaffee, Dortmunder Str. 1, 28199 Bremen",,,,,,,,,,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Kaffee-ganze-Bohnen/Melitta-BellaCrema-Kaffee-Speciale-ganze-Bohnen-1kg.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/melitta_bellacrema_kaffee_speciale_ganze_bohnen_1kg(1).jpg
18,Lebensmittel,Kaffee & Tee,Kaffee ganze Bohnen,Dallmayr Kaffee Prodomo ganze Bohnen 500G,"8,49 €","16,98 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 22:51:04.116533,Kaffee geröstet,,"Verantwortliches Lebensmittelunternehmen:
Alois Dallmayr Kaffee OHG, Dienerstr. 14-15, D-80331 München",,180,749,13,"5,9",24,"1,5",9,"0,03",https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Kaffee-ganze-Bohnen/Dallmayr-Kaffee-Prodomo-ganze-Bohnen-500G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/dallmayr_kaffee_prodomo_ganze_bohnen.jpg
19,Lebensmittel,Kaffee & Tee,Kaffee ganze Bohnen,Schweitzers Schüümli Helle Röstung Bohnen 500G,"7,69 €","15,38 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 22:51:06.548743,Röstkaffee in Bohnen,"Hinweis zur Aufbewahrung: Kühl, trocken und vor Licht geschützt lagern. Packung nach dem Öffnen wieder gut verschliessen. Zum raschen Verbrauch bestimmt.","Verantwortliches Lebensmittelunternehmen:
Swiss Industries GmbH, D-79576 Weil am Rhein.",Zutatenverzeichnis: Röstkaffee,,,,,,,,,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Kaffee-ganze-Bohnen/Schweitzers-Schueuemli-Helle-Roestung-Bohnen-500G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/schweitzschmlihellerstbohne.jpg
20,Lebensmittel,Kaffee & Tee,Kaffee ganze Bohnen,Schweitzers Schüümli Dunkle Röstung Bohnen 500G,"7,69 €","15,38 €/kg","inkl. MwSt., zzgl. 4.95 € Versandkosten.",lieferbar innerhalb von 2-5 Werktagen,2023-05-02 22:51:08.408160,Röstkaffee in Bohnen,"Hinweis zur Aufbewahrung: Kühl, trocken und vor Licht geschützt lagern. Packung nach dem Öffnen wieder gut verschliessen. Zum raschen Verbrauch bestimmt.","Verantwortliches Lebensmittelunternehmen:
Swiss Industries GmbH, D-79576 Weil am Rhein.",Zutatenverzeichnis: Röstkaffee,,,,,,,,,https://www.edeka24.de/Lebensmittel/Kaffee-Tee/Kaffee-ganze-Bohnen/Schweitzers-Schueuemli-Dunkle-Roestung-Bohnen-500G.html,https://www.edeka24.de/out/pictures/generated/product/1/540_540_90/schweitzschmlidunklerstbohne.jpg
